id,status,quantity,box__id,observation
188,COM,,188,planilla excel 2023
189,COM,,189,planilla excel 2023
190,COM,,190,planilla excel 2023
191,COM,,191,planilla excel 2023
192,COM,,192,planilla excel 2023
193,COM,,193,planilla excel 2023
194,COM,,194,planilla excel 2023
195,COM,,195,planilla excel 2023
196,COM,,196,planilla excel 2023
197,COM,,197,planilla excel 2023
198,COM,,198,planilla excel 2023
199,COM,,199,planilla excel 2023
200,COM,,200,planilla excel 2023
201,COM,,201,planilla excel 2023
202,COM,,202,planilla excel 2023
203,COM,,203,planilla excel 2023
204,COM,,204,planilla excel 2023
205,COM,,205,planilla excel 2023
206,COM,,206,planilla excel 2023
207,COM,,207,planilla excel 2023
208,COM,,208,planilla excel 2023
209,COM,,209,planilla excel 2023
210,COM,,210,planilla excel 2023
211,COM,,211,planilla excel 2023
212,COM,,212,planilla excel 2023
213,COM,,213,planilla excel 2023
214,COM,,214,planilla excel 2023
215,COM,,215,planilla excel 2023
216,COM,,216,planilla excel 2023
217,COM,,217,planilla excel 2023
218,COM,,218,planilla excel 2023
219,COM,,219,planilla excel 2023
220,COM,,220,planilla excel 2023
221,COM,,221,planilla excel 2023
222,COM,,222,planilla excel 2023
223,COM,,223,planilla excel 2023
224,COM,,224,planilla excel 2023
225,COM,,225,planilla excel 2023
226,COM,,226,planilla excel 2023
227,COM,,227,planilla excel 2023
228,COM,,228,planilla excel 2023
229,COM,,229,planilla excel 2023
230,COM,,230,planilla excel 2023
231,COM,,231,planilla excel 2023
232,COM,,232,planilla excel 2023
233,COM,,233,planilla excel 2023
234,COM,,234,planilla excel 2023
235,COM,,235,planilla excel 2023
236,COM,,236,planilla excel 2023
237,COM,,237,planilla excel 2023
238,COM,,238,planilla excel 2023
239,COM,,239,planilla excel 2023
240,COM,,240,planilla excel 2023
241,COM,,241,planilla excel 2023
242,COM,,242,planilla excel 2023
243,COM,,243,planilla excel 2023
244,COM,,244,planilla excel 2023
245,COM,,245,planilla excel 2023
246,COM,,246,planilla excel 2023
247,COM,,247,planilla excel 2023
248,COM,,248,planilla excel 2023
249,COM,,249,planilla excel 2023
250,COM,,250,planilla excel 2023
251,COM,,251,planilla excel 2023
252,COM,,252,planilla excel 2023
253,COM,,253,planilla excel 2023
254,COM,,254,planilla excel 2023
255,COM,,255,planilla excel 2023
256,COM,,256,planilla excel 2023
